First Name,Last Name,Full Name,Email,HBTN_ID,Tribe,Squad,New Squad Slack,Moved to New Squad?
John, Doe, John Doe 1, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 2, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 3, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 4, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 5, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 6, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 7, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 8, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 9, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 10, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 11, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 12, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 13, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 14, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 15, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 16, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 17, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 18, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 19, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 20, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 3, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
Jane, Doe, Jane Doe 4, janedoe@example.com, 1235, 2106_T1,2106_T1_A,2106_T1_A,Yes
John, Doe, John Doe 5, johndoe@example.com, 1234, 2106_T1,2106_T1_A,2106_T1_A,Yes
